cdata(190, *) には AAのID が、cdata(27, *) にはベースとなった本家のキャラクタIDが格納されている

AAのID   名前 ベースとなった本家のキャラクタ
1     イェルス機械兵                  イェルス機械兵
2     イェルスエリート機械兵          イェルスエリート機械兵
3     イェルス狙撃兵                  イェルス機械兵
4     イェルス特殊部隊兵              イェルス機械兵
5     イェルスコマンダー              イェルス機械兵
11    ブレイド                        ブレイド
12    ブレイドβ                      ブレイドβ
13    ブレイドΩ                      ブレイドΩ
14    サイロンソルジャー              ブレイドΩ
15    バトルドロイド                  ブレイドΩ
16    ブレイドマスター                ブレイドΩ
17    デストロイヤー・ドロイド        ブレイドΩ
21    イェルス自走砲                  イェルス自走砲
22    イェルス榴弾砲                  イェルス自走砲
23    アヴェンジャー                  イェルス自走砲
24    イェルス波動砲                  イェルス自走砲
25    エーレンベルク                  イェルス自走砲
26    イェルス縮退砲                  イェルス自走砲
31    パンプキンボム                  爆弾岩
32    ボムスパイダー                  カミカゼイーク
33    特攻兵器                        飛び蛙
34    アトミック・スーサイダー        飛び蛙
42    スーパーカブ                    カブ
43    太刀風                          カブ
44    サイクロン                      カブ
45    デイトナ                        カブ
51    ミュータントX                   ミュータント
52    アイアンスコーピオン            サソリ
53    ミュータントX-2                 ミュータント
91    バブルスライム                  バブル
92    鉄巨人                          タイタン
93    ニードリオン                    ハリねずみ
94    ミュータントX-Final             イスの偉大なる種族
101   『サイバードラゴン』            ワイバーン
102   『イェルス重装機械兵』          『ビッグダディ』
103   『デヴァステイター』            『ビッグダディ』
104   『マスターピース』              『ビッグダディ』
201   デスイーター                    怨念
202   カロン                          死刑執行人
204   グリムリーパー                  死刑執行人
205   スパイクアーマー                リビングアーマー
206   魔王の鎧                        リビングアーマー
207   ブラッドスライム                弱酸性スライム
208   タールスライム                  弱酸性スライム
209   アークリッチ                    リッチ
210   怪盗バット                      コウモリ
211   狂乱樹                          火炎樹
212   トレント                        火炎樹
213   異形の樹                        火炎樹
214   世界樹                          火炎樹
215   ターニップ                      マンドレイク
216   ナイトシェード                  マンドレイク
217   アルラウネ                      マンドレイク
218   ポイズンゾンビ                  ゾンビ
219   グール                          ゾンビ
220   クリムゾンヘッド                ゾンビ
221   ヘラクレス                      かぶと虫
222   ルーンビートル                  かぶと虫
223   ヤドクガエル                    飛び蛙
224   マッドシープ                    羊
225   ランドアーチン                  かたつむり
226   スラッジビースト                塊の怪物
227   ブラックプチ                    プチ
228   冥界の騎士                      古城の主『ワイナン』
229   シャドウドレイク                ファイアドレイク
230   古代竜                          ホワイトドラゴン
231   ゲリュオン                      阿修羅
232   フレッシュゴーレム              アダマンタイトゴーレム
233   オリハルコン・ポーン            ＜ポーン＞
234   オリハルコン・ルーク            ＜ルーク＞
235   オリハルコン・ビショップ        ＜ビショップ＞
236   オリハルコン・ナイト            ＜ナイト＞
237   オリハルコン・クィーン          ＜クィーン＞
238   オリハルコン・キング            ＜キング＞
239   マンティコア                    ライオン
240   デーモン                        猫使い『ケシー』
241   ジュエルビースト                カーバンクル
242   グラナトゥム                    シュブ＝ニグラス
243   コカトリス                      鶏
244   ベノムウィスプ                  ウィスプ
245   スフィア                        ウィスプ
246   亀                              やどかり
248   骸骨騎士                        骸骨狂戦士
249   イビルアイ                      カオスアイ
250   エンシェントリッチ              リッチ
251   棘きのこ                        混沌きのこ
481   暴徒                            農夫
482   暴徒                            パンク
483   暴徒                            鉱夫
484   暴徒                            ならずもの
485   殺し屋                          盗賊団の殺し屋
501   トレジャーハンター              戦士/魔術士/傭兵射手のいずれか
502   一流トレジャーハンター          戦士/魔術士/傭兵射手のいずれか
503   伝説のトレジャーハンター        戦士/魔術士/傭兵射手のいずれか
504   ゴッドハンド                    戦士/魔術士/傭兵射手のいずれか
511   死霊使い『ベルカシズル』        不浄なる者『アズラシズル』
1001  エリート魔術士                  魔術士
1002  傭兵魔法戦士                    戦士
1501  エウダーナ終身議長『ブライ』    魔術士
1502  《癒しのジュア》                《風のルルウィ》
1503  エウダーナの守り神『ネーデル』  ホワイトドラゴン
